adopter,bill_sum,bill_win,cf,income,educ,sqft,kids,n_peo,age,retire,party,state
Adopter,80,100,18.2321857,62.5,Graduate Degree,"(1500,2000]",0,3,65,0,Democrat,California
Non-adopter,125,175,12.9537076,62.5,High School or Less,"(1500,2000]",1,2,59,1,Republican,New York
Adopter,400,450,17.7295933,250,Some College,"(2000,3000]",1,2,44,0,Republican,California
Adopter,80,50,13.9613867,125,Graduate Degree,"(0,1000]",0,2,47,0,Democrat,New York
Non-adopter,125,175,13.1203658,87.5,Graduate Degree,"(1500,2000]",1,2,32,0,Republican,New York
Non-adopter,400,250,14.0733312,125,High School or Less,"(2000,3000]",0,3,57,1,Republican,New Jersey
Adopter,600,175,18.1662272,250,Some College,"(2000,3000]",1,3,43,0,Republican,California
Adopter,275,225,18.1662272,125,Graduate Degree,"(1500,2000]",0,2,58,0,Independent,California
Adopter,130,95,13.7866209,125,Some College,"(1500,2000]",0,2,62,0,Independent,New York
Non-adopter,225,225,14.1615421,87.5,Bachelor Degree,"(1000,1500]",0,2,32,0,Democrat,New York
Non-adopter,240,240,14.2487819,62.5,Some College,"(2000,3000]",1,3,50,0,Independent,New York
Adopter,300,300,19.4651838,62.5,Some College,"(1000,1500]",0,2,68,0,Independent,California
Non-adopter,175,125,14.3482328,125,Graduate Degree,"(1000,1500]",0,2,56,0,Independent,New York
Non-adopter,450,450,18.700047,175,Graduate Degree,"(2000,3000]",0,2,62,0,Independent,California
Non-adopter,100,300,13.0768876,37.5,Some College,"(2000,3000]",0,1,76,0,Independent,New York
Adopter,170,200,18.1662272,62.5,High School or Less,"(1500,2000]",0,2,74,1,Republican,California
Non-adopter,88,38,18.5442682,125,Graduate Degree,"(1500,2000]",1,2,37,0,Independent,California
Adopter,250,70,18.7285449,87.5,Bachelor Degree,"(1500,2000]",1,2,40,0,Independent,California
Adopter,150,600,13.3648961,125,Graduate Degree,"(3000,4000]",0,2,61,1,Democrat,New York
Non-adopter,63,88,18.2273476,62.5,Some College,"(1500,2000]",0,3,54,0,Democrat,California
Adopter,750,400,17.7295933,250,Graduate Degree,"(2000,3000]",0,3,57,0,Republican,California
Non-adopter,150,100,14.4799344,125,Bachelor Degree,"(1000,1500]",1,2,34,0,Democrat,New York
Non-adopter,88,175,13.7172145,87.5,Graduate Degree,"(1500,2000]",1,2,42,0,Democrat,New York
Non-adopter,225,88,18.4697327,62.5,Some College,"(1500,2000]",0,1,59,0,Republican,Arizona
Non-adopter,325,125,18.700047,175,Bachelor Degree,"(2000,3000]",0,2,60,1,Democrat,California
Adopter,800,600,14.4799344,87.5,Some College,"(2000,3000]",1,3,46,0,Republican,New York
Adopter,750,350,19.2908626,37.5,Bachelor Degree,"(2000,3000]",0,2,76,1,Democrat,California
Adopter,325,200,14.1535368,125,Some College,"(3000,4000]",1,2,55,0,Independent,New Jersey
Adopter,350,100,17.0682681,87.5,Graduate Degree,"(1500,2000]",0,2,30,0,Independent,California
Adopter,400,250,18.1662272,125,Graduate Degree,"(2000,3000]",0,2,49,0,Democrat,California
Adopter,400,100,18.3624927,125,Graduate Degree,"(2000,3000]",1,3,38,0,Democrat,California
Adopter,400,300,17.0682681,125,Bachelor Degree,"(2000,3000]",0,2,64,0,Independent,California
Non-adopter,38,63,12.9722412,62.5,Graduate Degree,"(1500,2000]",0,1,58,1,Republican,New York
Non-adopter,150,120,14.218588,125,Graduate Degree,"(2000,3000]",1,2,42,0,Independent,New Jersey
Non-adopter,275,125,18.4697327,37.5,High School or Less,"(1000,1500]",0,3,24,0,Republican,Arizona
Adopter,600,125,18.2302849,125,Graduate Degree,"(1000,1500]",0,1,29,0,Independent,California
Adopter,500,250,14.4940869,87.5,Some College,"(2000,3000]",1,3,51,0,Republican,New Jersey
Adopter,50,80,14.4799344,125,Graduate Degree,"(1000,1500]",0,1,38,0,Democrat,New York
Non-adopter,88,125,14.287465,87.5,Bachelor Degree,"(1000,1500]",0,2,28,0,Independent,New York
Non-adopter,200,100,18.4697327,87.5,Graduate Degree,"(2000,3000]",1,2,35,0,Independent,Arizona
Non-adopter,63,88,13.9981929,37.5,High School or Less,"(1500,2000]",0,1,80,0,Republican,New Jersey
Adopter,280,100,18.700047,175,Bachelor Degree,"(1500,2000]",0,2,58,1,Republican,California
Non-adopter,200,200,14.1615421,250,Bachelor Degree,"(4000,5000+]",1,2,32,0,Democrat,New York
Non-adopter,63,88,13.031158,125,Graduate Degree,"(2000,3000]",0,2,72,1,Democrat,New York
Non-adopter,225,225,18.4697327,175,Some College,"(2000,3000]",0,3,53,0,Democrat,Arizona
Non-adopter,65,45,13.648607,62.5,Some College,"(0,1000]",1,2,31,0,Democrat,New York
Non-adopter,125,88,19.8840528,37.5,Some College,"(0,1000]",0,2,68,1,Republican,Arizona
Non-adopter,175,175,13.9613867,62.5,Bachelor Degree,"(1000,1500]",1,3,54,0,Independent,New York
Adopter,480,325,18.1662272,125,Bachelor Degree,"(1000,1500]",0,2,54,0,Republican,California
Non-adopter,125,63,13.2440655,175,Graduate Degree,"(2000,3000]",0,2,52,0,Independent,New York
Adopter,190,125,18.2273476,87.5,Bachelor Degree,"(1500,2000]",0,2,72,1,Democrat,California
Adopter,375,145,18.4697327,125,Bachelor Degree,"(1500,2000]",0,2,78,1,Republican,Arizona
Adopter,150,350,17.1184243,125,Some College,"(1000,1500]",1,2,50,0,Democrat,California
Adopter,325,70,18.4697327,37.5,Bachelor Degree,"(1500,2000]",0,1,78,1,Independent,Arizona
Adopter,125,150,18.1662272,125,Graduate Degree,"(1500,2000]",0,2,58,0,Independent,California
Adopter,150,90,14.4799344,125,Bachelor Degree,"(1500,2000]",0,2,69,1,Democrat,New York
Non-adopter,225,175,14.1621756,175,Bachelor Degree,"(1500,2000]",0,2,33,0,Independent,New Jersey
Non-adopter,500,400,18.4697327,62.5,Some College,"(2000,3000]",1,3,51,0,Republican,Arizona
Non-adopter,38,38,16.5959732,125,High School or Less,"(1000,1500]",0,2,53,0,Democrat,California
Non-adopter,90,80,18.4697327,87.5,Bachelor Degree,"(2000,3000]",1,2,34,0,Republican,Arizona
Adopter,140,180,17.7295933,87.5,Some College,"(1500,2000]",0,3,55,0,Republican,California
Non-adopter,111,111,19.9905379,62.5,Bachelor Degree,"(1000,1500]",0,2,69,1,Democrat,Arizona
Adopter,700,200,17.0682681,125,Some College,"(1500,2000]",0,2,70,0,Republican,California
Non-adopter,63,125,13.7866209,62.5,High School or Less,"(1000,1500]",1,2,36,0,Republican,New York
Adopter,40,120,13.6167158,125,Graduate Degree,"(2000,3000]",0,2,55,0,Democrat,New York
Non-adopter,80,35,16.9027499,62.5,Some College,"(1500,2000]",1,3,21,0,Democrat,California
Non-adopter,450,275,18.700047,125,Bachelor Degree,"(1000,1500]",0,1,59,0,Independent,California
Non-adopter,83,50,18.700047,175,Bachelor Degree,"(1000,1500]",0,1,35,0,Independent,California
Adopter,60,90,18.700047,125,Graduate Degree,"(3000,4000]",0,2,71,0,Republican,California
Non-adopter,63,38,13.0458995,62.5,Bachelor Degree,"(1000,1500]",0,1,54,0,Republican,New York
Adopter,700,250,18.2302849,125,Bachelor Degree,"(2000,3000]",1,3,47,0,Republican,California
Adopter,120,80,18.5442682,125,Bachelor Degree,"(1500,2000]",0,3,73,0,Independent,California
Non-adopter,125,88,15.0491191,62.5,Graduate Degree,"(2000,3000]",0,2,76,1,Democrat,New Jersey
Non-adopter,38,88,19.2908626,62.5,Graduate Degree,"(1000,1500]",0,1,54,0,Independent,California
Non-adopter,225,88,19.1768928,17.5,Some College,"(1000,1500]",0,2,52,0,Independent,Arizona
Non-adopter,125,63,14.3809207,87.5,Bachelor Degree,"(2000,3000]",0,2,73,1,Republican,New Jersey
Non-adopter,100,200,15.0308957,62.5,High School or Less,"(4000,5000+]",0,2,31,0,Republican,New Jersey
Adopter,110,80,14.4799344,87.5,Graduate Degree,"(0,1000]",0,3,58,0,Independent,New York
Non-adopter,150,75,14.56947,125,Bachelor Degree,"(1000,1500]",1,1,35,0,Democrat,New Jersey
Adopter,200,200,13.6167158,37.5,High School or Less,"(1000,1500]",1,1,43,0,Democrat,New York
Non-adopter,225,125,15.0308957,125,Graduate Degree,"(2000,3000]",0,2,63,1,Independent,New Jersey
Non-adopter,325,175,14.1406168,87.5,Graduate Degree,"(3000,4000]",0,3,56,0,Independent,New Jersey
Non-adopter,175,63,19.1768928,37.5,Some College,"(1000,1500]",0,1,50,0,Democrat,Arizona
Adopter,150,120,18.700047,125,Bachelor Degree,"(0,1000]",1,2,39,0,Independent,California
Adopter,400,200,19.2908626,87.5,Some College,"(2000,3000]",0,2,63,0,Democrat,California
Non-adopter,175,75,15.0491191,62.5,Some College,"(1500,2000]",0,2,61,0,Republican,New Jersey
Adopter,80,80,18.3624927,175,Bachelor Degree,"(2000,3000]",1,2,53,0,Independent,California
Non-adopter,225,175,18.4697327,62.5,High School or Less,"(1000,1500]",0,2,44,0,Independent,Arizona
Non-adopter,125,88,18.4697327,125,Some College,"(1000,1500]",0,1,64,0,Republican,Arizona
Adopter,120,80,18.1662272,37.5,Graduate Degree,"(1500,2000]",0,2,61,0,Democrat,California
Non-adopter,88,125,18.3624927,125,Bachelor Degree,"(2000,3000]",1,1,36,0,Independent,California
Non-adopter,180,220,13.32727,175,Some College,"(2000,3000]",0,2,73,0,Republican,New York
Adopter,250,300,18.1662272,125,Some College,"(4000,5000+]",0,2,64,1,Independent,California
Non-adopter,40,50,18.700047,87.5,Bachelor Degree,"(0,1000]",1,2,30,0,Republican,California
Non-adopter,175,88,13.9606699,87.5,Graduate Degree,"(2000,3000]",1,2,63,1,Democrat,New Jersey
Adopter,150,90,18.1662272,87.5,Some College,"(2000,3000]",1,2,36,0,Independent,California
Non-adopter,375,275,14.2822257,37.5,Bachelor Degree,"(3000,4000]",1,2,51,0,Democrat,New Jersey
Adopter,250,150,14.4911203,125,Bachelor Degree,"(1500,2000]",0,2,67,1,Independent,New Jersey
Non-adopter,175,125,18.2273476,17.5,High School or Less,"(2000,3000]",0,1,86,1,Democrat,California
Adopter,225,75,14.1664029,125,Bachelor Degree,"(1000,1500]",1,2,33,0,Democrat,New Jersey
Adopter,100,250,18.1662272,62.5,Some College,"(2000,3000]",0,2,63,1,Republican,California
Non-adopter,63,88,14.192373,87.5,High School or Less,"(1500,2000]",0,3,50,0,Independent,New Jersey
Adopter,50,60,18.1662272,175,Bachelor Degree,"(2000,3000]",1,3,44,0,Republican,California
Adopter,150,100,18.1662272,125,Bachelor Degree,"(0,1000]",0,2,42,0,Democrat,California
Non-adopter,275,125,18.4697327,125,Some College,"(3000,4000]",0,2,54,1,Republican,Arizona
Non-adopter,175,175,14.3482328,87.5,Some College,"(1000,1500]",0,3,56,0,Independent,New York
Adopter,100,60,17.0682681,62.5,Bachelor Degree,"(1500,2000]",0,2,58,1,Republican,California
Non-adopter,88,88,14.1170634,125,Bachelor Degree,"(1500,2000]",0,2,63,1,Republican,New York
Non-adopter,175,88,18.4697327,87.5,High School or Less,"(1000,1500]",0,2,30,0,Independent,Arizona
Non-adopter,38,63,18.1662272,62.5,Some College,"(1000,1500]",0,1,53,0,Republican,California
Non-adopter,18,38,13.6147598,37.5,High School or Less,"(2000,3000]",0,1,61,0,Independent,New York
Non-adopter,63,63,18.1662272,37.5,Bachelor Degree,"(0,1000]",1,2,37,0,Democrat,California
Non-adopter,88,88,13.0458995,62.5,Some College,"(0,1000]",1,2,49,0,Independent,New York
Adopter,175,215,17.2051015,37.5,Some College,"(1500,2000]",0,1,63,1,Independent,California
Non-adopter,175,88,19.9372954,87.5,Bachelor Degree,"(2000,3000]",0,2,75,1,Republican,Arizona
Adopter,30,45,17.4116604,62.5,Some College,"(0,1000]",0,2,67,1,Independent,California
Adopter,60,200,17.1184243,87.5,Graduate Degree,"(1500,2000]",0,2,65,0,Democrat,California
Non-adopter,88,125,17.352081,62.5,High School or Less,"(1000,1500]",0,3,32,0,Democrat,California
Adopter,180,500,18.2273476,250,Graduate Degree,"(2000,3000]",1,3,52,0,Democrat,California
Non-adopter,120,120,18.70005,62.5,Graduate Degree,"(1000,1500]",1,2,32,0,Democrat,California
Non-adopter,275,175,14.6080858,87.5,Graduate Degree,"(2000,3000]",0,2,43,0,Independent,New Jersey
Adopter,300,175,19.9905379,175,Some College,"(2000,3000]",0,2,64,1,Democrat,Arizona
Non-adopter,325,110,18.4697327,87.5,Bachelor Degree,"(2000,3000]",1,3,43,0,Republican,Arizona
Adopter,100,300,17.2770336,62.5,Some College,"(3000,4000]",0,2,75,1,Democrat,California
Adopter,55,40,18.1662272,87.5,Bachelor Degree,"(1500,2000]",0,2,66,1,Democrat,California
Non-adopter,38,88,13.7866209,87.5,High School or Less,"(1000,1500]",0,2,30,0,Independent,New York
Non-adopter,90,150,18.5442682,125,Some College,"(1500,2000]",0,2,64,0,Republican,California
Non-adopter,200,300,14.1869744,350,Graduate Degree,"(2000,3000]",1,2,38,0,Republican,New Jersey
Adopter,600,200,18.1662272,250,Some College,"(1000,1500]",1,2,47,0,Republican,California
Non-adopter,125,125,18.2273476,17.5,High School or Less,"(1500,2000]",0,1,91,1,Republican,California
Non-adopter,175,125,13.2273183,62.5,High School or Less,"(1500,2000]",0,2,55,0,Republican,New York
Adopter,500,500,17.2770336,87.5,High School or Less,"(1500,2000]",1,3,44,0,Democrat,California
Adopter,550,95,19.4651838,250,Graduate Degree,"(2000,3000]",0,3,47,0,Independent,California
Adopter,650,400,17.2770336,250,Graduate Degree,"(2000,3000]",1,3,55,0,Republican,California
Non-adopter,200,500,14.3291156,175,Bachelor Degree,"(1500,2000]",1,2,46,0,Democrat,New York
Adopter,150,190,14.1458314,125,Graduate Degree,"(1500,2000]",0,2,30,0,Democrat,New Jersey
Non-adopter,175,38,14.4911203,87.5,High School or Less,"(2000,3000]",0,3,51,0,Independent,New Jersey
Adopter,250,250,18.1662272,62.5,Some College,"(2000,3000]",0,1,67,1,Republican,California
Adopter,250,100,17.5098528,62.5,Bachelor Degree,"(2000,3000]",1,2,41,0,Independent,California
Non-adopter,75,85,19.1942442,17.5,Some College,"(0,1000]",0,2,48,1,Independent,Arizona
Non-adopter,225,225,18.4697327,87.5,Some College,"(2000,3000]",1,2,53,0,Democrat,Arizona
Non-adopter,88,225,13.4629562,37.5,Some College,"(1500,2000]",0,3,49,0,Independent,New York
Non-adopter,18,18,14.1406168,87.5,Bachelor Degree,"(1000,1500]",0,2,67,1,Republican,New Jersey
Non-adopter,275,175,13.7376053,87.5,Graduate Degree,"(2000,3000]",0,1,49,0,Republican,New Jersey
Non-adopter,175,63,18.4697327,37.5,Bachelor Degree,"(1500,2000]",0,1,70,1,Independent,Arizona
Non-adopter,325,175,18.4697327,62.5,Bachelor Degree,"(1500,2000]",0,2,57,0,Independent,Arizona
Non-adopter,125,63,19.9827099,62.5,Some College,"(1500,2000]",0,1,64,0,Republican,Arizona
Adopter,140,145,18.2273476,62.5,Some College,"(2000,3000]",0,3,65,1,Independent,California
Adopter,292,240,14.4799344,125,Graduate Degree,"(1500,2000]",1,2,40,0,Democrat,New York
Non-adopter,98,102,13.0458995,87.5,Bachelor Degree,"(2000,3000]",0,3,23,0,Democrat,New York
Non-adopter,88,63,19.2908626,87.5,Graduate Degree,"(1500,2000]",1,2,42,0,Democrat,California
Adopter,250,300,14.218588,350,Graduate Degree,"(3000,4000]",1,2,45,0,Independent,New Jersey
Adopter,100,30,18.1662272,125,Bachelor Degree,"(1000,1500]",1,2,39,0,Democrat,California
Non-adopter,200,300,18.700047,250,Graduate Degree,"(1500,2000]",1,2,30,0,Republican,California
Non-adopter,225,88,18.4697327,125,Graduate Degree,"(2000,3000]",0,1,74,1,Democrat,Arizona
Adopter,450,220,17.0682681,125,Some College,"(1500,2000]",0,3,64,0,Independent,California
Non-adopter,200,90,14.7471945,62.5,Some College,"(1000,1500]",0,1,56,0,Independent,New Jersey
Non-adopter,125,175,19.2908626,62.5,Bachelor Degree,"(2000,3000]",0,2,61,1,Independent,California
Non-adopter,325,175,19.1768928,62.5,Some College,"(2000,3000]",0,1,51,0,Democrat,Arizona
Non-adopter,100,200,20.0647018,17.5,High School or Less,"(1000,1500]",0,2,25,0,Republican,Arizona
Adopter,540,240,18.2302849,125,Some College,"(2000,3000]",1,2,30,0,Democrat,California
Non-adopter,38,88,19.9905379,87.5,Graduate Degree,"(1500,2000]",0,1,49,0,Democrat,Arizona
Non-adopter,225,225,13.7607491,62.5,Bachelor Degree,"(2000,3000]",1,3,51,0,Republican,New Jersey
Non-adopter,225,125,18.4697327,62.5,Bachelor Degree,"(1000,1500]",1,2,30,0,Independent,Arizona
Non-adopter,375,125,14.4911203,125,Graduate Degree,"(2000,3000]",0,3,66,1,Democrat,New Jersey
Non-adopter,125,125,13.179338,125,Bachelor Degree,"(1500,2000]",0,2,53,0,Independent,New York
Adopter,250,150,19.9905379,62.5,Some College,"(2000,3000]",0,3,53,0,Democrat,Arizona
Adopter,100,60,19.3780232,62.5,Bachelor Degree,"(1000,1500]",0,2,63,0,Independent,California
Non-adopter,59,100,13.7899364,62.5,High School or Less,"(1500,2000]",0,2,22,0,Independent,New York
Non-adopter,150,100,19.8069413,37.5,Some College,"(1000,1500]",1,3,24,0,Republican,Arizona
Non-adopter,88,38,19.9905379,37.5,Some College,"(1500,2000]",0,2,76,1,Republican,Arizona
Non-adopter,225,375,14.218588,87.5,High School or Less,"(1000,1500]",0,1,44,0,Independent,New Jersey
Non-adopter,175,63,19.2330297,62.5,Some College,"(1000,1500]",1,2,37,0,Independent,Arizona
Non-adopter,325,125,18.4697327,175,Bachelor Degree,"(2000,3000]",0,2,40,0,Democrat,Arizona
Adopter,350,250,18.5312698,175,Some College,"(1500,2000]",0,2,61,0,Republican,California
Adopter,500,400,18.1662272,125,Bachelor Degree,"(2000,3000]",0,2,56,0,Independent,California
Adopter,350,90,13.7376053,175,High School or Less,"(1000,1500]",0,3,49,0,Democrat,New Jersey
Adopter,350,200,14.1837344,87.5,High School or Less,"(1000,1500]",1,3,53,0,Independent,New Jersey
Adopter,175,120,14.3809207,125,Bachelor Degree,"(2000,3000]",0,3,60,0,Independent,New Jersey
Non-adopter,65,60,13.0458995,62.5,Some College,"(1500,2000]",1,2,29,0,Republican,New York
Non-adopter,175,63,18.4697327,62.5,Some College,"(1500,2000]",0,2,50,0,Democrat,Arizona
Adopter,50,96,18.1662272,37.5,Some College,"(0,1000]",0,3,72,1,Republican,California
Non-adopter,325,225,18.5442682,87.5,Bachelor Degree,"(1000,1500]",0,1,38,0,Democrat,California
Non-adopter,275,88,19.9905379,125,High School or Less,"(1500,2000]",1,2,35,0,Independent,Arizona
Adopter,300,300,17.2051015,87.5,Some College,"(1000,1500]",1,2,49,0,Independent,California
Non-adopter,63,125,13.0458995,37.5,Some College,"(0,1000]",0,2,60,1,Democrat,New York
Non-adopter,175,125,18.5442682,87.5,Bachelor Degree,"(1500,2000]",1,2,49,0,Republican,California
Adopter,300,75,17.1992868,62.5,Some College,"(1500,2000]",1,2,45,0,Independent,California
Adopter,170,125,18.700047,175,Graduate Degree,"(1500,2000]",0,2,58,0,Independent,California
Adopter,550,200,18.700047,125,Some College,"(1500,2000]",1,3,58,1,Democrat,California
Non-adopter,120,120,14.1812924,87.5,High School or Less,"(3000,4000]",1,2,25,0,Independent,New Jersey
Adopter,35,150,14.1837344,250,Bachelor Degree,"(1000,1500]",1,3,55,0,Independent,New Jersey
Non-adopter,38,38,18.700047,125,Bachelor Degree,"(1000,1500]",0,2,52,0,Independent,California
Adopter,350,200,17.0682681,87.5,Some College,"(1000,1500]",0,3,65,1,Democrat,California
Non-adopter,175,38,14.218588,125,Graduate Degree,"(1500,2000]",0,2,60,0,Democrat,New Jersey
Adopter,300,300,14.4799344,125,Bachelor Degree,"(2000,3000]",0,3,54,0,Independent,New York
Non-adopter,80,75,19.2958857,17.5,Graduate Degree,"(1000,1500]",0,2,53,0,Democrat,Arizona
Adopter,85,50,14.1837344,87.5,Some College,"(1000,1500]",0,1,63,0,Democrat,New Jersey
Non-adopter,325,88,18.4697327,62.5,Graduate Degree,"(2000,3000]",0,2,63,0,Democrat,Arizona
Non-adopter,90,90,18.700047,62.5,Bachelor Degree,"(1000,1500]",0,2,72,1,Democrat,California
Adopter,200,220,18.1662272,175,Bachelor Degree,"(2000,3000]",1,2,39,0,Democrat,California
Adopter,100,50,18.2302849,62.5,Graduate Degree,"(1500,2000]",0,2,80,1,Democrat,California
Non-adopter,200,125,14.287465,87.5,Graduate Degree,"(1500,2000]",0,3,56,0,Independent,New York
Adopter,100,225,17.7295933,175,Graduate Degree,"(1500,2000]",0,2,53,0,Democrat,California
Adopter,377,377,14.4799344,175,Graduate Degree,"(2000,3000]",1,3,53,0,Democrat,New York
Non-adopter,38,63,13.0458995,37.5,Some College,"(1500,2000]",0,2,75,0,Republican,New York
Adopter,140,110,18.4697327,62.5,Bachelor Degree,"(1500,2000]",0,2,76,1,Republican,Arizona
Adopter,140,70,18.2302849,37.5,Bachelor Degree,"(1000,1500]",0,3,67,1,Democrat,California
Non-adopter,88,88,17.7295933,125,Graduate Degree,"(2000,3000]",0,2,63,0,Republican,California
Adopter,90,55,19.2908626,37.5,High School or Less,"(1000,1500]",0,2,54,0,Independent,California
Adopter,225,100,17.7295933,125,Bachelor Degree,"(1500,2000]",0,2,64,0,Democrat,California
Adopter,350,200,18.3624927,175,Bachelor Degree,"(2000,3000]",0,2,59,0,Independent,California
Non-adopter,180,225,12.7374221,62.5,High School or Less,"(1000,1500]",0,2,39,0,Republican,New York
Non-adopter,300,280,13.0019787,87.5,Graduate Degree,"(1000,1500]",0,3,68,1,Independent,New York
Non-adopter,200,100,14.3482328,175,Graduate Degree,"(1000,1500]",0,2,38,0,Republican,New York
Adopter,500,150,19.4651838,87.5,Graduate Degree,"(2000,3000]",1,2,39,0,Democrat,California
Non-adopter,375,325,18.1662272,87.5,Some College,"(2000,3000]",1,3,54,1,Republican,California
Non-adopter,450,450,17.1995282,17.5,Some College,"(2000,3000]",0,3,32,0,Republican,California
Adopter,265,145,18.1662272,87.5,Some College,"(2000,3000]",0,2,75,1,Independent,California
Non-adopter,63,63,17.0696245,37.5,Bachelor Degree,"(2000,3000]",0,1,64,1,Independent,California
Non-adopter,125,63,13.6928697,62.5,Graduate Degree,"(0,1000]",0,1,69,1,Democrat,New York
Non-adopter,125,125,13.7174854,62.5,High School or Less,"(1000,1500]",0,2,68,1,Democrat,New Jersey
Non-adopter,200,300,19.2908626,37.5,Some College,"(1500,2000]",0,2,54,0,Democrat,California
Non-adopter,88,63,18.1662272,125,Some College,"(3000,4000]",0,2,58,1,Independent,California
Non-adopter,150,90,18.1662272,17.5,Graduate Degree,"(2000,3000]",0,1,37,0,Democrat,California
Non-adopter,275,225,14.3482328,125,High School or Less,"(1000,1500]",0,2,60,1,Republican,New York
Non-adopter,450,175,18.4697327,125,Bachelor Degree,"(2000,3000]",0,2,62,0,Republican,Arizona
Non-adopter,325,125,18.4697327,125,Some College,"(2000,3000]",1,3,54,0,Democrat,Arizona
Adopter,93,93,14.1837344,175,Bachelor Degree,"(2000,3000]",1,2,37,0,Democrat,New Jersey
Non-adopter,250,45,18.4697327,62.5,Bachelor Degree,"(4000,5000+]",0,1,34,0,Democrat,Arizona
Non-adopter,38,38,13.0458995,175,Some College,"(1500,2000]",1,2,55,0,Democrat,New York
Non-adopter,88,125,13.3924939,62.5,High School or Less,"(2000,3000]",1,2,40,0,Independent,New York
Non-adopter,175,225,19.8069413,87.5,Some College,"(3000,4000]",0,1,56,1,Independent,Arizona
Non-adopter,150,50,19.8069413,62.5,Some College,"(0,1000]",0,2,66,1,Democrat,Arizona
Non-adopter,175,125,20.1035223,62.5,Some College,"(2000,3000]",1,2,51,0,Republican,Arizona
Adopter,300,100,14.3809207,350,Bachelor Degree,"(1500,2000]",1,2,47,0,Independent,New Jersey
Non-adopter,275,200,18.700047,175,Bachelor Degree,"(3000,4000]",0,1,49,0,Democrat,California
Non-adopter,63,88,18.2273476,87.5,High School or Less,"(1000,1500]",0,2,62,1,Democrat,California
Non-adopter,38,63,18.1662272,175,Bachelor Degree,"(2000,3000]",0,3,62,0,Republican,California
Adopter,120,200,13.6007146,250,Some College,"(1500,2000]",0,2,75,0,Republican,New York
Non-adopter,120,135,13.6167158,87.5,Bachelor Degree,"(1000,1500]",1,2,45,0,Republican,New York
Adopter,85,45,18.5442682,125,Bachelor Degree,"(1000,1500]",0,2,74,1,Democrat,California
Adopter,250,75,18.6221576,250,Bachelor Degree,"(2000,3000]",0,2,67,1,Independent,California
Adopter,300,150,18.1662272,175,Graduate Degree,"(2000,3000]",0,2,60,0,Democrat,California
Non-adopter,125,63,18.4697327,62.5,Bachelor Degree,"(1000,1500]",0,2,51,0,Independent,Arizona
Non-adopter,175,175,19.9372954,62.5,Bachelor Degree,"(2000,3000]",0,2,59,0,Republican,Arizona
Non-adopter,63,175,13.7866209,175,Bachelor Degree,"(3000,4000]",0,2,68,0,Independent,New York
Non-adopter,150,100,18.700047,125,Bachelor Degree,"(2000,3000]",1,2,45,0,Democrat,California
Non-adopter,125,88,14.0733312,62.5,High School or Less,"(1500,2000]",0,3,48,0,Independent,New Jersey
Non-adopter,35,45,19.8069413,62.5,Some College,"(1500,2000]",0,2,70,1,Republican,Arizona
Adopter,300,250,18.1662272,62.5,Some College,"(1500,2000]",0,2,64,1,Independent,California
Non-adopter,200,200,14.3055579,125,Some College,"(1000,1500]",1,2,37,0,Republican,New York
Adopter,350,95,18.2302849,37.5,Bachelor Degree,"(1000,1500]",0,1,71,1,Independent,California
Adopter,500,150,19.3780232,87.5,Bachelor Degree,"(3000,4000]",0,1,41,0,Independent,California
Non-adopter,275,225,14.0733312,125,Graduate Degree,"(2000,3000]",1,3,59,0,Independent,New Jersey
Non-adopter,600,300,15.0491191,87.5,High School or Less,"(3000,4000]",0,2,67,1,Republican,New Jersey
Non-adopter,250,300,16.3724796,87.5,Graduate Degree,"(2000,3000]",1,2,26,0,Republican,California
Non-adopter,275,225,19.9372954,62.5,High School or Less,"(2000,3000]",0,3,67,1,Republican,Arizona
Non-adopter,38,38,18.1662272,17.5,Some College,"(2000,3000]",0,1,66,1,Democrat,California
Adopter,70,110,17.7295933,125,Bachelor Degree,"(1500,2000]",0,2,68,0,Republican,California
Non-adopter,500,200,14.3531422,175,Graduate Degree,"(2000,3000]",0,3,57,0,Democrat,New Jersey
Non-adopter,63,63,13.0458995,62.5,Some College,"(1500,2000]",1,1,32,0,Independent,New York
Adopter,200,100,14.4799344,37.5,Some College,"(1500,2000]",0,3,47,0,Democrat,New York
Non-adopter,200,150,19.9372954,37.5,Bachelor Degree,"(1000,1500]",0,2,75,1,Independent,Arizona
Non-adopter,225,175,17.1184243,175,High School or Less,"(2000,3000]",0,2,49,0,Independent,California
Non-adopter,38,18,19.4651838,37.5,Some College,"(1000,1500]",0,2,32,0,Democrat,California
Non-adopter,100,50,18.4697327,87.5,Some College,"(0,1000]",0,1,19,0,Independent,Arizona
Adopter,300,300,17.0682681,87.5,Graduate Degree,"(1000,1500]",0,3,51,0,Republican,California
Non-adopter,225,175,17.2969523,62.5,Some College,"(2000,3000]",0,2,40,1,Republican,California
Non-adopter,63,175,13.1402931,62.5,Some College,"(1000,1500]",0,1,46,0,Independent,New York
Non-adopter,88,63,19.9905379,87.5,Some College,"(1500,2000]",0,2,51,0,Republican,Arizona
Adopter,75,200,17.7750341,62.5,Some College,"(0,1000]",0,3,68,1,Independent,California
Adopter,150,40,14.218588,175,Graduate Degree,"(2000,3000]",0,2,57,0,Independent,New Jersey
Non-adopter,150,350,13.1402931,250,Graduate Degree,"(1500,2000]",0,2,35,0,Independent,New York
