adopter,bill_sum,bill_win,cf,income,educ,sqft,kids,n_peo,age,retire,party,state
Non-adopter,175,175,18.700047,87.5,High School or Less,"(1000,1500]",0,2,54,0,Independent,California
Non-adopter,325,225,15.0491191,37.5,High School or Less,"(1500,2000]",0,3,68,1,Independent,New Jersey
Non-adopter,225,125,14.4911203,125,Graduate Degree,"(2000,3000]",0,3,72,1,Democrat,New Jersey
Non-adopter,225,245,17.0393921,37.5,Bachelor Degree,"(2000,3000]",0,2,57,1,Independent,California
Non-adopter,125,88,14.1104985,87.5,Bachelor Degree,"(1000,1500]",0,2,64,0,Independent,New Jersey
Non-adopter,275,225,14.7471945,175,High School or Less,"(2000,3000]",1,2,36,0,Independent,New Jersey
Non-adopter,125,88,16.9027499,87.5,Some College,"(2000,3000]",0,2,44,0,Republican,California
Non-adopter,275,38,19.9905379,87.5,Some College,"(1500,2000]",1,2,41,0,Republican,Arizona
Non-adopter,400,250,18.4697327,125,Graduate Degree,"(2000,3000]",1,2,45,0,Democrat,Arizona
Adopter,200,145,18.700047,87.5,Some College,"(1000,1500]",0,1,65,1,Independent,California
Non-adopter,88,88,16.9027499,37.5,High School or Less,"(1000,1500]",0,1,54,0,Republican,California
Non-adopter,125,125,18.700047,87.5,High School or Less,"(2000,3000]",1,2,37,0,Democrat,California
Non-adopter,125,225,13.6928697,125,Graduate Degree,"(1500,2000]",1,2,44,0,Democrat,New York
Non-adopter,375,275,14.4799344,350,Graduate Degree,"(4000,5000+]",0,1,61,1,Republican,New York
Non-adopter,175,175,14.3482328,125,Some College,"(2000,3000]",0,3,72,1,Independent,New York
Adopter,60,140,17.1106164,350,Bachelor Degree,"(2000,3000]",0,1,55,0,Democrat,California
Non-adopter,225,88,14.4911203,125,Graduate Degree,"(1500,2000]",0,2,52,0,Independent,New Jersey
Non-adopter,88,63,14.3531422,17.5,Bachelor Degree,"(0,1000]",0,1,61,0,Democrat,New Jersey
Non-adopter,63,63,12.6858165,62.5,Some College,"(0,1000]",1,2,33,0,Independent,New York
Adopter,90,150,18.3624927,125,Graduate Degree,"(2000,3000]",0,2,59,0,Independent,California
Non-adopter,125,125,18.4697327,62.5,High School or Less,"(1000,1500]",0,2,25,0,Independent,Arizona
Non-adopter,200,150,14.3531422,62.5,Bachelor Degree,"(1000,1500]",1,2,41,0,Democrat,New Jersey
Non-adopter,325,88,14.3482328,250,Graduate Degree,"(2000,3000]",0,2,71,1,Democrat,New York
Adopter,150,75,19.4651838,37.5,Some College,"(1500,2000]",0,2,74,1,Independent,California
Non-adopter,250,250,14.5694684,125,Some College,"(4000,5000+]",1,2,43,0,Republican,New Jersey
Non-adopter,275,175,14.3482328,62.5,High School or Less,"(1500,2000]",0,3,57,0,Independent,New York
Non-adopter,325,175,18.4697327,87.5,High School or Less,"(3000,4000]",0,2,75,0,Democrat,Arizona
Adopter,250,75,19.4651838,125,Some College,"(1500,2000]",0,2,27,0,Republican,California
Adopter,225,80,18.1662272,125,Some College,"(1500,2000]",1,2,48,0,Republican,California
Adopter,120,70,17.1992868,62.5,Bachelor Degree,"(1500,2000]",0,2,64,1,Republican,California
Non-adopter,175,175,17.7295933,62.5,Some College,"(1000,1500]",0,2,54,0,Independent,California
Non-adopter,175,63,14.1645432,175,Graduate Degree,"(3000,4000]",0,2,65,1,Republican,New Jersey
Non-adopter,225,88,19.9905379,87.5,High School or Less,"(2000,3000]",0,2,55,1,Independent,Arizona
Non-adopter,225,175,19.9638338,37.5,Graduate Degree,"(2000,3000]",0,2,67,1,Republican,Arizona
Non-adopter,289,129,17.2051015,62.5,Bachelor Degree,"(1500,2000]",1,2,38,0,Independent,California
Adopter,250,175,14.4799344,175,Graduate Degree,"(2000,3000]",0,2,67,1,Democrat,New York
Adopter,160,160,18.1662272,62.5,Graduate Degree,"(4000,5000+]",0,2,58,1,Independent,California
Adopter,280,100,18.700047,87.5,Graduate Degree,"(2000,3000]",0,2,69,1,Democrat,California
Adopter,300,250,14.4799344,87.5,Bachelor Degree,"(2000,3000]",1,3,51,0,Republican,New York
Non-adopter,125,275,12.982605,125,Some College,"(0,1000]",0,2,64,0,Republican,New York
Non-adopter,225,88,19.9905379,62.5,Graduate Degree,"(2000,3000]",0,2,69,1,Democrat,Arizona
Non-adopter,175,63,14.3531422,62.5,Bachelor Degree,"(1500,2000]",0,2,81,0,Democrat,New Jersey
Non-adopter,500,200,18.4697327,125,Graduate Degree,"(3000,4000]",0,2,74,1,Republican,Arizona
Adopter,90,60,19.4651838,37.5,Bachelor Degree,"(1500,2000]",0,2,60,0,Republican,California
Non-adopter,275,175,18.4697327,37.5,Some College,"(3000,4000]",0,2,50,0,Independent,Arizona
Non-adopter,175,88,13.7376053,125,Bachelor Degree,"(1000,1500]",1,2,37,0,Independent,New Jersey
Non-adopter,120,160,18.5442682,125,Some College,"(2000,3000]",0,2,54,1,Democrat,California
Non-adopter,63,63,19.2908626,37.5,High School or Less,"(1000,1500]",1,2,33,0,Republican,California
Non-adopter,38,175,19.4651838,87.5,Some College,"(2000,3000]",0,2,75,1,Republican,California
Non-adopter,38,88,13.0019787,17.5,High School or Less,"(1000,1500]",1,1,76,1,Republican,New York
Non-adopter,275,88,18.4697327,37.5,Some College,"(1500,2000]",1,2,26,0,Democrat,Arizona
Adopter,300,188,17.2770336,350,Graduate Degree,"(2000,3000]",0,2,62,0,Republican,California
Non-adopter,225,125,14.1837344,62.5,Graduate Degree,"(4000,5000+]",0,1,53,0,Republican,New Jersey
Non-adopter,275,125,19.9905379,125,Some College,"(1500,2000]",0,3,53,0,Republican,Arizona
Adopter,415,415,17.2770336,87.5,Some College,"(2000,3000]",1,3,46,0,Republican,California
Non-adopter,125,63,13.1402931,62.5,High School or Less,"(1500,2000]",1,2,40,0,Republican,New York
Adopter,200,400,17.7295933,175,Graduate Degree,"(2000,3000]",0,3,71,0,Democrat,California
Non-adopter,120,50,18.4697327,87.5,Bachelor Degree,"(2000,3000]",0,2,30,0,Independent,Arizona
Adopter,440,240,18.5442682,125,Some College,"(1500,2000]",1,3,48,0,Republican,California
Non-adopter,200,200,14.2011612,62.5,High School or Less,"(1500,2000]",0,2,65,1,Independent,New Jersey
Non-adopter,200,140,14.3482328,37.5,Graduate Degree,"(1000,1500]",0,3,26,0,Independent,New York
Non-adopter,135,56,14.1406168,87.5,Bachelor Degree,"(2000,3000]",1,2,50,0,Democrat,New Jersey
